(EN);(FR)
actually;en fait
afterwards;apres
ahead;devant
all the same;quand meme
altogether;completement
always;toujours
anyway;de toute façon
automatically;automatiquement
basically;fondamentalement
behind;derriere
below;en dessous de
besides;en outre
briefly;brievement
carefully;soigneusement
certainly;certainement
clearly;clairement
closely;avec attention
completely;completement
constantly;sans cesse
currently;actuellement
daily;quotidien
deeply;profondement
definitely;absolument
deliberately;deliberement
directly;directement
early;tôt
easily;facilement
effectively;efficacement
elsewhere;autre part
enough;assez
equally;egalement
especially;notamment
essentially;essentiellement
eventually;un jour
everywhere;partout
exactly;exactement
extremely;extremement
fairly;equitablement
finally;enfin
frequently;frequemment
fully;pleinement
furthermore;de plus
generally;generalement
gently;doucement
greatly;tres
hardly;a peine
highly;tres
honestly;honnetement
hopefully;esperons-le
however;cependant
immediately;immediatement
initially;initialement
instead;au lieu de
likely;probablement
literally;litteralement
mainly;principalement
merely;seulement
moreover;de plus
mostly;la plupart
naturally;naturellement
nearly;presque
necessarily;necessairement
nevertheless;neanmoins
normally;normalement
obviously;evidemment
occasionally;parfois
originally;initialement
otherwise;sinon
perfectly;a la perfection
personally;personnellement
physically;physiquement
possibly;peut-etre
previously;precedemment
probably;probablement
properly;correctement
quickly;rapidement
rarely;rarement
rather;plutôt
readily;facilement
recently;recemment
regularly;regulierement
relatively;relativement
roughly;grossierement
seriously;serieusement
significantly;sensiblement
similarly;de la meme façon
simply;simplement
slightly;legerement
slowly;lentement
somehow;pour une raison ou pour une autre
somewhat;quelque peu
specifically;plus precisement
strongly;fortement
successfully;avec succes
suddenly;soudainement
terribly;terriblement
though;pourtant
thus;donc
together;ensemble
totally;totalement
truly;vraiment
twice;deux fois
ultimately;en fin de compte
unfortunately;malheureusement
upstairs;en haut
usually;generalement
utterly;completement
virtually;virtuellement
weekly;chaque semaine
widely;largement
